Order ID,Cust ID,Gender,Age,Age-Group,Month,Status,Channel ,Category,Size,Qty,Amount,ship-city,ship-state
171-1029312-3038738,1029312,Women,44,Senior,Dec,Delivered,Myntra,Kurta,XXL,1,376,MOHALI,PUNJAB
405-2183842-2225946,2183842,Women,29,Teen,Dec,Delivered,Ajio,Set,L,1,1449,GURUGRAM,HARYANA
171-1641533-8921966,1641533,Women,67,Adult,Dec,Delivered,Myntra,Set,S,1,453,KOLKATA,WEST BENGAL
404-7490807-6300351,7490807,Women,20,Teen,Dec,Delivered,Amazon,Set,M,1,729,THANJAVUR,TAMIL NADU
403-9293516-4577154,9293516,Women,62,Adult,Dec,Delivered,Myntra,Kurta,XXL,1,544,GURUGRAM,HARYANA
407-1298130-0368305,1298130,Men,49,Senior,Dec,Delivered,Flipkart,Western,XXL,1,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA
407-1298130-0368305,1298130,Women,23,Teen,Dec,Delivered,Meesho,Kurta,XXL,1,735,BENGALURU,KARNATAKA
171-5561216-3398711,5561216,Women,70,Adult,Dec,Delivered,Others,Kurta,M,1,435,GURUGRAM,HARYANA
408-2935263-2935550,2935263,Women,75,Adult,Dec,Delivered,Amazon,Kurta,XL,1,385,BENGALURU,KARNATAKA
404-2648970-9042715,2648970,Women,76,Adult,Dec,Delivered,Amazon,Kurta,S,1,517,THIRUVANANTHAPURAM,KERALA
404-2648970-9042715,2648970,Women,45,Senior,Dec,Delivered,Myntra,Top,M,1,399,ARAKONAM,TAMIL NADU
404-2648970-9042715,2648970,Women,18,Teen,Dec,Delivered,Amazon,Set,XL,1,786,GUWAHATI,ASSAM
408-0265357-4939534,265357,Men,44,Senior,Dec,Delivered,Myntra,Set,M,1,911,BENGALURU,KARNATAKA
403-9268874-7296313,9268874,Women,52,Adult,Dec,Delivered,Amazon,Set,M,1,967,HYDERABAD,TELANGANA
407-0442660-2736366,442660,Women,18,Teen,Dec,Delivered,Nalli,Top,L,1,523,NEW DELHI,DELHI
406-7482261-1657136,7482261,Men,30,Senior,Dec,Delivered,Meesho,Set,XL,1,1115,BHUBANESWAR,ODISHA
407-7039962-7080347,7039962,Women,48,Senior,Dec,Delivered,Others,Set,XS,1,563,SIROHI,RAJASTHAN
407-3422488-7373923,3422488,Men,24,Teen,Dec,Delivered,Myntra,Western,XXL,1,473,MUMBAI,MAHARASHTRA
171-8974687-6745940,8974687,Women,46,Senior,Dec,Delivered,Amazon,Set,M,1,545,AMRITSAR,PUNJAB
406-0244536-2177175,244536,Women,43,Senior,Dec,Delivered,Nalli,Set,XL,1,1164,LUCKNOW,UTTAR PRADESH
404-4376789-3345166,4376789,Men,31,Senior,Dec,Refunded,Myntra,Western,XXL,1,743,NEW DELHI,DELHI
408-1943310-9789160,1943310,Men,30,Senior,Dec,Delivered,Myntra,Set,XL,1,575,MADURAI,TAMIL NADU
403-0950590-5005155,950590,Women,19,Teen,Dec,Delivered,Ajio,Set,XS,1,788,MEERUT,UTTAR PRADESH
406-3935670-5720350,3935670,Women,37,Senior,Dec,Delivered,Amazon,Set,M,1,612,HYDERABAD,TELANGANA
402-0398999-0011565,398999,Women,37,Senior,Dec,Delivered,Others,Kurta,XXL,1,533,INDORE,MADHYA PRADESH
403-5438780-7231546,5438780,Women,62,Adult,Dec,Delivered,Flipkart,Top,XL,1,484,DAVANAGERE,KARNATAKA
406-8343960-8137102,8343960,Men,20,Teen,Dec,Delivered,Flipkart,Set,XL,1,563,RUDRAPUR,UTTARAKHAND
406-0986513-0498758,986513,Men,77,Adult,Dec,Delivered,Flipkart,Western,XXL,1,735,CHENNAI,TAMIL NADU
406-0947452-6044339,947452,Men,26,Teen,Dec,Delivered,Amazon,Set,XS,1,759,PRAYAGRAJ,UTTAR PRADESH
406-1326018-3426760,1326018,Men,40,Senior,Dec,Delivered,Amazon,Western,XXL,1,715,GREAT NICOBAR,ANDAMAN & NICOBAR 
406-9281717-2212317,9281717,Men,52,Adult,Dec,Delivered,Amazon,Western,XXL,1,885,AHMEDABAD,GUJARAT
408-6866119-6793128,6866119,Women,38,Senior,Dec,Delivered,Others,Kurta,M,1,301,SALEM,TAMIL NADU
403-9400852-1350710,9400852,Men,39,Senior,Dec,Delivered,Myntra,Set,XL,1,1238,GUWAHATI,ASSAM
408-2606836-0473931,2606836,Men,37,Senior,Dec,Delivered,Amazon,Set,S,1,856,CHENNAI,TAMIL NADU
405-8481179-1130753,8481179,Women,73,Adult,Dec,Delivered,Flipkart,Set,L,1,650,VADODARA,GUJARAT
406-9686095-5057139,9686095,Women,41,Senior,Dec,Delivered,Amazon,Kurta,XL,1,449,PAYYANNUR,KERALA
404-9033015-7527503,9033015,Women,41,Senior,Dec,Delivered,Myntra,Set,XS,1,967,CHANDIGARH,CHANDIGARH
402-6932218-7744338,6932218,Women,35,Senior,Dec,Delivered,Amazon,Kurta,XL,1,399,GURUGRAM,HARYANA
408-8796291-5026713,8796291,Women,72,Adult,Dec,Delivered,Flipkart,Set,M,1,969,MOHALI,PUNJAB
407-9654105-3225150,9654105,Men,39,Senior,Dec,Delivered,Flipkart,Western,L,1,599,BENGALURU,KARNATAKA
402-0637532-2672317,637532,Women,39,Senior,Dec,Delivered,Amazon,Top,S,1,545,PUNE,MAHARASHTRA
402-0637532-2672317,637532,Women,44,Senior,Dec,Delivered,Myntra,Set,XS,1,1115,PUNE,MAHARASHTRA
404-3393819-5081930,3393819,Women,22,Teen,Dec,Delivered,Meesho,Set,XL,1,648,SONIPAT,HARYANA
406-5673590-1054739,5673590,Women,64,Adult,Dec,Delivered,Flipkart,Set,S,1,999,NELLORE,ANDHRA PRADESH
403-5846829-5098742,5846829,Women,30,Senior,Dec,Delivered,Amazon,Set,XXL,1,563,TIRUCHIRAPPALLI,TAMIL NADU
171-4087298-3807569,4087298,Women,46,Senior,Dec,Delivered,Myntra,Set,S,1,833,BENGALURU,KARNATAKA
408-7694743-7590732,7694743,Women,48,Senior,Dec,Delivered,Nalli,Kurta,S,1,487,PUNE,MAHARASHTRA
406-8068610-1108329,8068610,Women,25,Teen,Dec,Delivered,Myntra,Kurta,M,1,292,VARANASI,UTTAR PRADESH
171-7917674-9759550,7917674,Men,35,Senior,Dec,Delivered,Others,Set,M,1,558,UDUPI,KARNATAKA
406-2709798-4585159,2709798,Women,27,Teen,Dec,Delivered,Amazon,Set,M,1,664,HYDERABAD,TELANGANA
405-4213846-6141157,4213846,Women,21,Teen,Dec,Delivered,Others,Set,M,1,1112,ALLAHABAD,UTTAR PRADESH
407-7381557-9088310,7381557,Women,43,Senior,Dec,Delivered,Others,Top,S,1,540,SOUTH DELHI,DELHI
403-0817885-3061963,817885,Men,39,Senior,Dec,Delivered,Myntra,Set,XS,1,698,KHALILABAD,UTTAR PRADESH
171-2439278-5433152,2439278,Men,23,Teen,Dec,Delivered,Others,Set,XXL,1,1115,NEW DELHI,DELHI
405-8874360-4913961,8874360,Women,58,Adult,Dec,Delivered,Meesho,Set,XXL,1,507,HYDERABAD,TELANGANA
408-4675134-5301129,4675134,Men,27,Teen,Dec,Delivered,Amazon,Set,XS,1,916,SULTANPUR,UTTAR PRADESH
402-9907523-6175562,9907523,Women,38,Senior,Dec,Delivered,Amazon,Saree,Free,1,737,MURWARA KATNI,MADHYA PRADESH
402-9907523-6175562,9907523,Men,75,Adult,Dec,Delivered,Flipkart,Set,XL,1,988,MUMBAI,MAHARASHTRA
407-7643005-7856329,7643005,Men,47,Senior,Dec,Delivered,Meesho,Set,XL,1,633,CHENNAI,TAMIL NADU
407-0381223-7065145,381223,Women,62,Adult,Dec,Delivered,Amazon,Set,M,1,899,MAHENDRAGARH,HARYANA
407-8538186-6616316,8538186,Women,42,Senior,Dec,Delivered,Amazon,Kurta,XL,1,764,BENGALURU,KARNATAKA
